PEGE_DOCUMENTOIDENTIDAD,PROG_CODIGOICFES,PERIODO,PENG_PRIMERNOMBRE,PENG_PRIMERAPELLIDO,PENG_SEGUNDONOMBRE,PENG_SEGUNDOAPELLIDO,PEGE_MAIL,PEGE_TELEFONOCELULAR,PEGE_TELEFONO,ESTP_FECHAINGRESO,ESTP_CODIGOMATRICULA,ESTP_ID,FRAN_DESCRIPCION,UNID_NOMBRE,MAAC_PROMEDIO,ESTP_PROMEDIOGENERAL,CATE_DESCRIPCION,tipodocumento,fechanacimiento,genero
1314392887,10926,2018-2,PAULA,HERNANDEZ,FERNANDO,VEGA,paula.hernandez1@correo.edu.co,3911054782,6071082068,13/07/2018,2018-02,ECM-20182-001,NOCTURNA,CENTRO,4.8,4.7,INSCRITO,CC,11/03/1996,M
1632713477,10926,2022-2,JORGE,GUTIERREZ,HUGO,PALACIOS,jorge.gutierrez2@correo.edu.co,3494730922,6072194384,10/07/2022,2022-02,ECM-20222-002,DIURNA,CENTRO,3.9,2.6,INSCRITO,CC,01/07/2000,M
1381896116,10925,2023-2,PEDRO,MORENO,MARCELA,REYES,pedro.moreno3@correo.edu.co,3488568507,6072500021,01/07/2023,2023-02,ECM-20232-003,NOCTURNA,NORTE,4.7,3.4,INSCRITO,CC,08/04/1995,M
1612849076,10922,2024-1,HECTOR,VARGAS,ELENA,DELGADO,hector.vargas4@correo.edu.co,3597257384,6074658007,04/02/2024,2024-01,ECM-20241-004,NOCTURNA,SUR,4.7,2.8,ACTIVO,CC,31/03/1999,M
1207426722,10922,2021-2,MONICA,HERNANDEZ,PATRICIA,MENDOZA,monica.hernandez5@correo.edu.co,3495854548,6076729053,01/07/2021,2021-02,ECM-20212-005,NOCTURNA,NORTE,4.7,3.1,INSCRITO,CC,31/08/2000,F
1852326235,10925,2021-1,IVAN,TORRES,ENRIQUE,HERRERA,ivan.torres6@correo.edu.co,3743031669,6077347512,02/02/2021,2021-01,ECM-20211-006,DIURNA,CENTRO,3.6,4.9,ACTIVO,CC,28/04/2002,M
1471491553,10923,2023-1,NATALIA,GUTIERREZ,TERESA,CRUZ,natalia.gutierrez7@correo.edu.co,3168308759,6079863124,15/02/2023,2023-01,ECM-20231-007,DIURNA,SUR,3.3,2.7,MATRICULADO,CC,02/12/1996,M
1764381833,18271,2021-2,ANDRES,DIAZ,MAURICIO,ORTEGA,andres.diaz8@correo.edu.co,3786830825,6073694012,15/07/2021,2021-02,ECM-20212-008,SABATINA,SUR,3.3,4.6,MATRICULADO,CC,25/01/2003,F
1066845535,10922,2020-2,PEDRO,RUIZ,CRISTINA,REYES,pedro.ruiz9@correo.edu.co,3262714656,6072767071,08/07/2020,2020-02,ECM-20202-009,DIURNA,SUR,3.0,4.5,INSCRITO,CC,02/07/1999,F
1236003527,10926,2020-2,JUAN,MORENO,ERNESTO,MOLINA,juan.moreno10@correo.edu.co,3380009542,6076535490,02/07/2020,2020-02,ECM-20202-010,NOCTURNA,NORTE,4.3,3.5,ACTIVO,CC,01/12/1995,M
1815279982,18272,2021-2,JUAN,MARTINEZ,MARCELA,NIETO,juan.martinez11@correo.edu.co,3283227340,6078098158,10/07/2021,2021-02,ECM-20212-011,SABATINA,PRINCIPAL,2.7,2.6,INSCRITO,CC,18/04/1996,M
1661130284,10922,2018-1,LORENA,GOMEZ,GUILLERMO,CRUZ,lorena.gomez12@correo.edu.co,3791122385,6071910549,14/02/2018,2018-01,ECM-20181-012,DIURNA,PRINCIPAL,4.3,3.2,MATRICULADO,CC,01/09/1998,F
1726027368,10922,2022-1,MONICA,VARGAS,BEATRIZ,VEGA,monica.vargas13@correo.edu.co,3513440355,6075089293,11/02/2022,2022-01,ECM-20221-013,SABATINA,NORTE,2.7,3.8,INSCRITO,CC,19/09/1997,F
1489656698,18272,2024-1,LORENA,GARCIA,JOSE,CRUZ,lorena.garcia14@correo.edu.co,3697277157,6071056033,11/02/2024,2024-01,ECM-20241-014,SABATINA,SUR,3.4,3.2,ACTIVO,CC,18/02/2000,F
1225587895,18272,2018-2,DAVID,GOMEZ,ISABEL,QUINTERO,david.gomez15@correo.edu.co,3789994752,6076981854,12/07/2018,2018-02,ECM-20182-015,SABATINA,SUR,3.5,2.7,INSCRITO,CC,19/02/2002,F
1819638585,10926,2019-1,PAULA,JIMENEZ,TERESA,RIOS,paula.jimenez16@correo.edu.co,3460460832,6074926437,06/02/2019,2019-01,ECM-20191-016,NOCTURNA,SUR,4.8,3.3,INSCRITO,CC,28/02/2001,F
1161736215,10926,2023-2,OSCAR,LOPEZ,MARCELA,VEGA,oscar.lopez17@correo.edu.co,3858094762,6078880136,14/07/2023,2023-02,ECM-20232-017,NOCTURNA,PRINCIPAL,4.8,2.6,MATRICULADO,CC,26/11/1995,F
1773257272,10925,2018-2,MARIA,SANCHEZ,ELENA,SUAREZ,maria.sanchez18@correo.edu.co,3545612559,6078402431,14/07/2018,2018-02,ECM-20182-018,NOCTURNA,NORTE,3.6,4.8,ACTIVO,CC,24/04/2001,M
1207830562,10926,2020-1,CAROLINA,RAMIREZ,CRISTINA,ORTEGA,carolina.ramirez19@correo.edu.co,3203429025,6075082825,09/02/2020,2020-01,ECM-20201-019,SABATINA,PRINCIPAL,3.3,4.1,ACTIVO,CC,28/08/2001,F
1752057014,10922,2020-1,MONICA,MORENO,CLAUDIA,ROJAS,monica.moreno20@correo.edu.co,3633626114,6076724958,12/02/2020,2020-01,ECM-20201-020,NOCTURNA,SUR,2.7,3.2,INSCRITO,CC,03/06/2001,M
1307320847,10929,2023-1,LUIS,SANCHEZ,TERESA,RAMOS,luis.sanchez21@correo.edu.co,3358495367,6078289282,04/02/2023,2023-01,ECM-20231-021,DIURNA,CENTRO,2.8,4.1,ACTIVO,CC,06/08/1998,F
1790805096,10923,2021-1,FELIPE,MEDINA,CRISTINA,VEGA,felipe.medina22@correo.edu.co,3113848276,6078190582,13/02/2021,2021-01,ECM-20211-022,NOCTURNA,SUR,4.8,4.0,MATRICULADO,CC,27/03/1999,F
1133144271,18272,2019-2,CARLOS,MARTINEZ,EDUARDO,MOLINA,carlos.martinez23@correo.edu.co,3200352370,6072582073,13/07/2019,2019-02,ECM-20192-023,DIURNA,CENTRO,3.7,3.1,ACTIVO,CC,17/03/1997,F
1125543243,18272,2022-1,PEDRO,DIAZ,PATRICIA,DELGADO,pedro.diaz24@correo.edu.co,3643228870,6072099608,02/02/2022,2022-01,ECM-20221-024,NOCTURNA,CENTRO,4.2,4.3,MATRICULADO,CC,24/07/1995,M
1384616163,10929,2023-1,JORGE,ROMERO,CLAUDIA,CRUZ,jorge.romero25@correo.edu.co,3954299889,6073909307,12/02/2023,2023-01,ECM-20231-025,DIURNA,SUR,3.5,2.9,MATRICULADO,CC,08/10/1996,M
1333560544,10922,2021-2,VALENTINA,GUTIERREZ,MARCELA,SILVA,valentina.gutierrez26@correo.edu.co,3222854206,6076531240,07/07/2021,2021-02,ECM-20212-026,SABATINA,NORTE,3.0,3.7,ACTIVO,CC,09/12/1997,M
1649211148,10929,2023-1,RICARDO,RUIZ,JOSE,QUINTERO,ricardo.ruiz27@correo.edu.co,3719888717,6073663112,06/02/2023,2023-01,ECM-20231-027,SABATINA,CENTRO,3.4,3.5,INSCRITO,CC,08/07/1999,F
1150742676,10929,2023-2,CAROLINA,CASTRO,VICTORIA,MENDOZA,carolina.castro28@correo.edu.co,3744818917,6079640310,04/07/2023,2023-02,ECM-20232-028,NOCTURNA,CENTRO,3.5,3.3,MATRICULADO,CC,27/01/1997,F
1401471090,10922,2019-2,CAROLINA,GOMEZ,JOSE,NIETO,carolina.gomez29@correo.edu.co,3752848757,6073551182,08/07/2019,2019-02,ECM-20192-029,SABATINA,PRINCIPAL,4.8,2.7,INSCRITO,CC,11/11/1995,F
1201593162,18272,2019-2,NATALIA,TORRES,CLAUDIA,RIOS,natalia.torres30@correo.edu.co,3654710793,6076085516,10/07/2019,2019-02,ECM-20192-030,SABATINA,NORTE,3.5,4.1,ACTIVO,CC,21/08/1997,F
1210735972,18271,2020-1,JULIAN,GARCIA,BEATRIZ,RIOS,julian.garcia31@correo.edu.co,3920673414,6076408896,14/02/2020,2020-01,ECM-20201-031,NOCTURNA,NORTE,3.6,2.5,ACTIVO,CC,23/07/2003,M
1705333171,18272,2018-1,OSCAR,TORRES,PATRICIA,QUINTERO,oscar.torres32@correo.edu.co,3913705203,6071894894,01/02/2018,2018-01,ECM-20181-032,NOCTURNA,PRINCIPAL,2.8,3.7,MATRICULADO,CC,24/07/2000,M
1403754858,10929,2019-1,LORENA,ALVAREZ,MARCELA,RIOS,lorena.alvarez33@correo.edu.co,3690437012,6072166724,08/02/2019,2019-01,ECM-20191-033,SABATINA,PRINCIPAL,2.7,2.5,INSCRITO,CC,05/03/1997,F
1637666072,10922,2019-1,ANDRES,GOMEZ,ISABEL,QUINTERO,andres.gomez34@correo.edu.co,3347006210,6078751753,12/02/2019,2019-01,ECM-20191-034,NOCTURNA,NORTE,4.2,3.8,MATRICULADO,CC,10/11/2001,M
1810335613,10925,2019-1,ANDRES,VARGAS,RODRIGO,VILLAMIZAR,andres.vargas35@correo.edu.co,3207267530,6071368100,12/02/2019,2019-01,ECM-20191-035,NOCTURNA,PRINCIPAL,3.1,4.5,INSCRITO,CC,25/11/1995,M
1006460399,18272,2021-2,DAVID,LOPEZ,RODRIGO,MOLINA,david.lopez36@correo.edu.co,3659463238,6074833560,09/07/2021,2021-02,ECM-20212-036,NOCTURNA,CENTRO,3.4,4.5,MATRICULADO,CC,02/10/2000,F
1553671014,10929,2022-2,LAURA,VARGAS,MARCELA,NIETO,laura.vargas37@correo.edu.co,3416084957,6074852708,11/07/2022,2022-02,ECM-20222-037,SABATINA,CENTRO,4.6,3.4,ACTIVO,CC,26/12/2003,M
1826903212,10926,2023-2,RICARDO,TORRES,ISABEL,CRUZ,ricardo.torres38@correo.edu.co,3256813768,6076161879,14/07/2023,2023-02,ECM-20232-038,SABATINA,SUR,4.2,3.4,MATRICULADO,CC,16/09/1999,F
1396097861,18272,2020-2,CAMILA,MORENO,ELENA,NIETO,camila.moreno39@correo.edu.co,3565833690,6078953081,02/07/2020,2020-02,ECM-20202-039,NOCTURNA,SUR,2.8,2.9,MATRICULADO,CC,22/07/2003,M
1868479851,10924,2022-1,PAULA,SANCHEZ,MARCELA,CRUZ,paula.sanchez40@correo.edu.co,3178271821,6077956935,02/02/2022,2022-01,ECM-20221-040,NOCTURNA,PRINCIPAL,4.6,3.6,ACTIVO,CC,06/12/1996,M
1727604142,10925,2020-1,DIANA,VARGAS,BEATRIZ,HERRERA,diana.vargas41@correo.edu.co,3760133418,6078276144,04/02/2020,2020-01,ECM-20201-041,DIURNA,NORTE,3.3,2.9,ACTIVO,CC,24/12/1999,M
1280295177,10922,2020-1,PEDRO,JIMENEZ,ERNESTO,SUAREZ,pedro.jimenez42@correo.edu.co,3817886415,6077461728,14/02/2020,2020-01,ECM-20201-042,DIURNA,PRINCIPAL,4.5,4.2,INSCRITO,CC,05/01/1996,M
1709771337,10924,2024-1,ANDREA,RAMIREZ,CRISTINA,HERRERA,andrea.ramirez43@correo.edu.co,3579328722,6076815668,08/02/2024,2024-01,ECM-20241-043,NOCTURNA,CENTRO,2.6,2.9,MATRICULADO,CC,06/04/2001,M
1715956298,10923,2019-1,CARLOS,CASTRO,BEATRIZ,ACOSTA,carlos.castro44@correo.edu.co,3109344297,6073696648,14/02/2019,2019-01,ECM-20191-044,NOCTURNA,SUR,4.4,3.3,ACTIVO,CC,09/12/1999,F
1030483242,10929,2018-1,MONICA,GARCIA,CRISTINA,RIOS,monica.garcia45@correo.edu.co,3285148554,6077639194,13/02/2018,2018-01,ECM-20181-045,DIURNA,SUR,4.1,4.2,INSCRITO,CC,22/03/1995,F
1334713375,18271,2022-2,CAROLINA,MORENO,PATRICIA,HERRERA,carolina.moreno46@correo.edu.co,3314226508,6073869511,04/07/2022,2022-02,ECM-20222-046,SABATINA,PRINCIPAL,4.4,4.9,INSCRITO,CC,23/11/2003,M
1064892428,10926,2024-1,ANDRES,MEDINA,JOSE,REYES,andres.medina47@correo.edu.co,3886724645,6078896523,08/02/2024,2024-01,ECM-20241-047,NOCTURNA,PRINCIPAL,3.4,3.5,INSCRITO,CC,08/11/1999,M
1506087783,10922,2019-1,VALENTINA,ALVAREZ,CRISTINA,SUAREZ,valentina.alvarez48@correo.edu.co,3540911451,6078719199,05/02/2019,2019-01,ECM-20191-048,SABATINA,NORTE,3.7,3.9,ACTIVO,CC,29/11/2001,M
1335494372,10925,2018-1,NATALIA,LOPEZ,HUGO,NIETO,natalia.lopez49@correo.edu.co,3762257807,6076476850,05/02/2018,2018-01,ECM-20181-049,SABATINA,SUR,3.1,3.6,ACTIVO,CC,29/07/1997,M
1452573599,10924,2023-1,PAULA,GUTIERREZ,MAURICIO,HERRERA,paula.gutierrez50@correo.edu.co,3936571056,6077927434,06/02/2023,2023-01,ECM-20231-050,SABATINA,CENTRO,2.6,2.8,MATRICULADO,CC,20/01/2001,M
1304151267,10923,2024-1,ANDREA,PEREZ,FERNANDO,MORA,andrea.perez51@correo.edu.co,3286316438,6078665747,15/02/2024,2024-01,ECM-20241-051,SABATINA,NORTE,4.5,4.9,INSCRITO,CC,21/06/1997,M
1495003384,10926,2023-1,MARIA,ROMERO,GUILLERMO,VILLAMIZAR,maria.romero52@correo.edu.co,3455403504,6075389759,02/02/2023,2023-01,ECM-20231-052,DIURNA,CENTRO,4.0,4.4,MATRICULADO,CC,23/05/1996,M
1089444921,10925,2022-2,CAMILA,RODRIGUEZ,ALBERTO,MOLINA,camila.rodriguez53@correo.edu.co,3158629427,6072618961,05/07/2022,2022-02,ECM-20222-053,DIURNA,CENTRO,4.7,4.4,INSCRITO,CC,26/02/2002,F
1677903238,10926,2023-2,DANIELA,RUIZ,CRISTINA,SUAREZ,daniela.ruiz54@correo.edu.co,3416446028,6074153204,10/07/2023,2023-02,ECM-20232-054,SABATINA,CENTRO,3.4,3.3,INSCRITO,CC,22/08/2001,M
