numero_documento,nombre_programa,fecha_graduacion
1314392887,ADMINISTRACION DE EMPRESAS,19/01/2024
1632713477,CONTADURIA PUBLICA,30/01/2022
1381896116,INGENIERIA DE SISTEMAS,27/12/2024
1612849076,CONTADURIA PUBLICA,15/03/2022
1207426722,CONTADURIA PUBLICA,30/09/2024
1852326235,TECNOLOGIA EN SISTEMAS,24/09/2024
1471491553,DERECHO,01/03/2022
1764381833,INGENIERIA ELECTRONICA,30/05/2023
1066845535,INGENIERIA ELECTRONICA,21/07/2024
1236003527,INGENIERIA ELECTRONICA,15/08/2024
1815279982,INGENIERIA DE SISTEMAS,19/09/2023
1661130284,INGENIERIA DE SISTEMAS,30/07/2022
1726027368,INGENIERIA ELECTRONICA,12/09/2022
1489656698,INGENIERIA INDUSTRIAL,03/05/2023
1225587895,TECNOLOGIA INDUSTRIAL,23/06/2022
1819638585,INGENIERIA INDUSTRIAL,15/07/2022
1161736215,DERECHO,23/07/2022
1773257272,CONTADURIA PUBLICA,31/05/2023
1207830562,TECNOLOGIA EN SISTEMAS,29/04/2024
1752057014,CONTADURIA PUBLICA,05/07/2022
1307320847,ADMINISTRACION DE EMPRESAS,06/02/2023
1790805096,INGENIERIA ELECTRONICA,01/03/2022
1133144271,TECNOLOGIA INDUSTRIAL,25/04/2022
1125543243,CONTADURIA PUBLICA,08/12/2023
1384616163,TECNOLOGIA EN SISTEMAS,14/10/2023
1333560544,DERECHO,06/04/2023
1649211148,ADMINISTRACION DE EMPRESAS,11/12/2022
1150742676,TECNOLOGIA EN SISTEMAS,24/11/2023
1401471090,CONTADURIA PUBLICA,06/06/2022
1201593162,CONTADURIA PUBLICA,17/12/2022
1210735972,INGENIERIA INDUSTRIAL,31/01/2024
1705333171,INGENIERIA ELECTRONICA,30/07/2023
1403754858,TECNOLOGIA EN SISTEMAS,18/08/2023
1637666072,INGENIERIA DE SISTEMAS,04/09/2023
1810335613,CONTADURIA PUBLICA,17/10/2022
1006460399,DERECHO,26/07/2022
1553671014,INGENIERIA ELECTRONICA,28/11/2022
1826903212,DERECHO,20/04/2024
1396097861,ADMINISTRACION DE EMPRESAS,06/08/2022
1868479851,CONTADURIA PUBLICA,08/11/2022
1727604142,INGENIERIA DE SISTEMAS,28/10/2023
1280295177,DERECHO,23/05/2022
